,Language,Meaning,Phonological Form,cc,ASJP
96,English,meat,mi:t,meat:G,mit
98,Dutch,meat,vles,meat:B,vles
103,German,meat,flaĭʃ,meat:B,flaiS
109,Catalan,meat,kaɾn,meat:D,karn
110,Portuguese,meat,ˈkaɾnɨ,meat:D,karn3
111,Spanish,meat,'kaɾne,meat:D,karne
117,French,meat,vjɑ̃d,meat:L,vyod
124,Italian,meat,'karne,meat:D,karne
125,Romanian,meat,'karne,meat:D,karne
134,Breton,meat,ˈkiːk,meat:E,kik
137,Irish,meat,"fʲoːlʲ, fʲɔːlʲ",meat:J,folfol
11,Greek,yellow,ˈcitriˌno̞s,yellow:G,Titrinos
42,Hindi,yellow,pi:la,yellow:H,pila
53,Bulgarian,yellow,ʒɤɫt,yellow:A,ZoLt
55,Russian,yellow,'ʐɔɫtɨj,yellow:A,ZoLt3y
56,Polish,yellow,ˈʐuwtɘ̟,yellow:A,Zuwt3
58,Ukrainian,yellow,ˈʐɔʋtɪj,yellow:A,Zowtiy
60,Czech,yellow,ˈʒlutiː,yellow:A,Zluti
68,Icelandic,yellow,ˈɡ̊ʏːlʏr,yellow:A,gilir
73,Swedish,yellow,ɡʉːl,yellow:A,g3l
77,Danish,yellow,guˀl,yellow:A,gul
81,English,yellow,'jɛləʊ,yellow:A,yEl3u
83,Dutch,yellow,ɣel,yellow:A,xel
88,German,yellow,gɛlp,yellow:A,gElp
93,Catalan,yellow,gɾɔk,yellow:E,grok
94,Portuguese,yellow,ɐmɐˈɾɛlu,yellow:C,amarElu
95,Spanish,yellow,ama'ɾiʎo,yellow:C,amarilo
101,French,yellow,ʒon,yellow:F,Zon
110,Italian,yellow,'dʒallo,yellow:F,dZallo
111,Romanian,yellow,ˈɡalben,yellow:F,galben
120,Breton,yellow,ˈmeːlǝn,yellow:D,mel3n
14,Greek,mountain,vuˈno̞,mountain:L,vuno
55,Hindi,mountain,pəhɑːɽ,mountain:M,p3hor
71,Bulgarian,mountain,pɫəniˈna,mountain:O,pL3nina
73,Russian,mountain,gɔ'ra,mountain:A,gora
74,Polish,mountain,ˈɡura,mountain:A,gura
76,Ukrainian,mountain,ɦɔˈra,mountain:A,hora
79,Czech,mountain,ˈɦɔra,mountain:A,hora
85,Lithuanian,mountain,ˈka:lnɐs,mountain:I,kalnas
88,Icelandic,mountain,fjad̥l,mountain:P,fyadl
97,Swedish,mountain,fjɛlː,mountain:P,fyEl
98,Swedish,mountain,bærj,mountain:B,bEry
104,Danish,mountain,ˈb̥jɛɐ̯ˀw,mountain:B,byEaw
105,Danish,mountain,fjɛlˀ,mountain:P,fyEl
110,English,mountain,'maʊntɪn,mountain:F,mauntin
112,Dutch,mountain,bɛrχ,mountain:B,bErG
117,German,mountain,bɛrk,mountain:B,bErk
124,Catalan,mountain,mon,mountain:F,mon
125,Portuguese,mountain,mõˈtɐɲɐ,mountain:F,motaNa
126,Spanish,mountain,mon'taɲa,mountain:F,montaNa
132,French,mountain,mɔ̃taɲ,mountain:F,motaN
140,Italian,mountain,"mon'taɲɲa, 'monte",mountain:F,montaNNamonte
151,Breton,mountain,ˈmeːnǝs,mountain:F,men3s
14,Greek,think,ˈsce̞fto̞ˌme̞,think:H,sTeftome
15,Greek,think,no̞ˈmizo̞,think:N,nomizo
50,Hindi,think,sotʃn̪a,think:I,sotSna
62,Bulgarian,think,ˈmislʲə,think:F,misl3
64,Russian,think,'dumatʲ,think:T,dumat
65,Polish,think,ˈmɘ̟ɕlɛtɕ,think:F,m3SlEtS
67,Ukrainian,think,ˈdumatɪ,think:T,dumati
69,Czech,think,ˈmɪslɛt,think:F,mislEt
78,Icelandic,think,ˈhʏɡ̊sa,think:G,higsa
84,Swedish,think,ˈtɛ̀ŋka,think:B,tENka
89,Danish,think,ˈd̥ʰɛŋ g̥ʰə,think:B,dENg3
95,English,think,θɪŋk,think:B,8iNk
97,Dutch,think,'dɛŋkə(n),think:B,dENk3n
102,German,think,'dɛŋkn̩,think:B,dENkn
110,Catalan,think,"pən'sa, pen'saɾ",think:D,p3nsapensar
111,Portuguese,think,pẽˈsaɾ,think:D,pesar
112,Spanish,think,pen'saɾ,think:D,pensar
119,French,think,pɑ̃se,think:D,pose
125,Italian,think,pen'sare,think:D,pensare
136,Welsh,think,ˈmɛðʊl,think:K,mE8ul
14,Greek,belly,ciˈʎa,belly:I,Tila
15,Greek,belly,ɣasˈte̞ra,belly:Ak,xastera
71,Bulgarian,belly,kuˈrɛm,belly:Am,kurEm
73,Russian,belly,ʐɨˈvɔt,belly:S,Z3vot
74,Polish,belly,bʐux,belly:H,bZux
76,Ukrainian,belly,ʐɪˈvit,belly:S,Zivit
78,Czech,belly,ˈbr̝ɪxɔ,belly:H,brixo
88,Icelandic,belly,ˈb̥uːkʰʏr,belly:B,bukir
89,Icelandic,belly,ˈmaːɣɪ,belly:N,maxi
90,Icelandic,belly,ˈkʰvɪːðʏr,belly:O,kvi8ir
103,Swedish,belly,bʉ:k,belly:B,b3k
104,Swedish,belly,ˈmɑ̀ːɡə,belly:N,mog3
110,Danish,belly,ˈmæːvə,belly:N,mEv3
111,Danish,belly,b̥uˀ,belly:B,bu
119,English,belly,bɛlɪ,belly:B,bEli
121,Dutch,belly,bœyk,belly:B,bEik
128,German,belly,baŭx,belly:B,baux
135,Catalan,belly,"'panʃə, 'pantʃa",belly:U,panS3pantSa
136,Catalan,belly,'bentrə,belly:E,bentr3
137,Portuguese,belly,ˈvẽtɾɨ,belly:E,vetr3
146,French,belly,vɑ̃tʀ,belly:E,votr
159,Italian,belly,'vɛntre,belly:E,vEntre
171,Breton,belly,ˈtoːr,belly:X,tor
172,Breton,belly,ˈkoːf,belly:F,kof
15,Greek,ashes,ˈte̞fra,ashes:L,tefra
16,Greek,ashes,ˈstaxti,ashes:H,staxti
54,Hindi,ashes,rakʰ,ashes:I,rak
66,Bulgarian,ashes,ˈpɛpɘɫ,ashes:G,pEp3L
68,Russian,ashes,zɔˈɫa,ashes:Y,zoLa
69,Polish,ashes,ˈpɔpjuw,ashes:G,popyuw
71,Ukrainian,ashes,ˈpɔpiɫ,ashes:G,popiL
73,Czech,ashes,ˈpopɛl,ashes:G,popEl
81,Icelandic,ashes,ˈaska,ashes:A,aska
86,Swedish,ashes,stɔft,ashes:H,stoft
87,Swedish,ashes,ˈàska,ashes:A,aska
91,Danish,ashes,ˈasg̥ʰə,ashes:A,asg3
95,English,ashes,æʃɪz,ashes:A,ESiz
97,Dutch,ashes,ɑs,ashes:A,os
102,German,ashes,'aʃə,ashes:A,aS3
108,Catalan,ashes,'sɛndrə,ashes:E,sEndr3
109,Portuguese,ashes,ˈsĩzɐʃ,ashes:E,sizaS
110,Spanish,ashes,θe'niθas,ashes:E,8eni8as
116,French,ashes,sɑ̃dʀ,ashes:E,sodr
122,Italian,ashes,'tʃenere,ashes:E,tSenere
128,Breton,ashes,ˈlyːdy,ashes:F,lidi
14,Greek,eat,ˈtro̞(ɣ)o̞,eat:H,troxo
47,Hindi,eat,kʰana,eat:C,kana
60,Bulgarian,eat,jam,eat:B,yam
62,Russian,eat,jɛsʲtʲ,eat:B,yEst
63,Polish,eat,jɛɕtɕ,eat:B,yEStS
65,Ukrainian,eat,ˈjistɪ,eat:B,yisti
67,Czech,eat,jiːst,eat:B,yist
74,Lithuanian,eat,ˈʋa:lʲɡʲi:tʲɪ,eat:K,walgiti
76,Icelandic,eat,ɛːtʰa,eat:B,Eta
77,Icelandic,eat,ˈpɔrða,eat:B/O,por8a
84,Swedish,eat,ˈɛ̀:ta,eat:B,Eta
88,Danish,eat,sb̥ʰi:sə,eat:G,sbis3
89,Danish,eat,ˈɛːðə,eat:B,E83
94,English,eat,i:t,eat:B,it
96,Dutch,eat,etə(n),eat:B,et3n
101,German,eat,'ɛsn̩,eat:B,Esn
109,Catalan,eat,mən'ʒa,eat:F,m3nZa
110,Portuguese,eat,kuˈmeɾ,eat:B/D,kumer
111,Spanish,eat,ko'meɾ,eat:B/D,komer
117,French,eat,mɑ̃ʒe,eat:F,moZe
126,Italian,eat,man'dʒare,eat:F,mandZare
127,Romanian,eat,a mɨnˈka,eat:F,am3nka
134,Breton,eat,ˈdebrĩ,eat:E,debri
136,Irish,eat,"ɪ, ɪh",eat:I,iih
10,Greek,play,ˈpe̞zo̞,play:K,pezo
50,Bulgarian,play,iˈɡrajə,play:H,igray3
52,Russian,play,i'gratʲ,play:H,igrat
53,Polish,play,gratɕ,play:H,gratS
54,Polish,play,ˈbavitɕ ɕɛ(ɰ̃),play:N,bavitSSEw
56,Ukrainian,play,ˈɦratɪ,play:H,hrati
58,Czech,play,ɦraːt,play:H,hrat
66,Icelandic,play,ˈleiːkʰa,play:M,leika
73,Swedish,play,ˈlè:ka,play:M,leka
74,Swedish,play,ˈspè:la,play:B,spela
80,Danish,play,ˈlɑjə,play:M,loy3
81,Danish,play,ˈsb̥ʰelə,play:B,sbel3
88,English,play,pleɪ,play:J,plei
91,Dutch,play,'spelə(n),play:B,spel3n
96,German,play,'ʃpi:lən,play:B,Spil3n
102,Catalan,play,ʒu'ɣa,play:F,Zuxa
103,Portuguese,play,ʒuˈɡaɾ,play:F,Zugar
105,Spanish,play,xu'ɣaɾ,play:F,xuxar
111,French,play,ʒwe,play:F,Zwe
117,Italian,play,dʒo'kare,play:F,dZokare
125,Breton,play,"ˈxoaːri, ˈxwaːri",play:G,xoarixwari
14,Greek,heart,karˈðʝa,heart:J,kar8Sa
56,Hindi,heart,hr̩day,heart:J,hrdai
71,Bulgarian,heart,sərˈtsɛ,heart:J,s3rtsE
73,Russian,heart,'sʲɛrdtsɛ,heart:J,sErdtsE
74,Polish,heart,ˈsɛrtsɛ,heart:J,sErtsE
76,Ukrainian,heart,ˈsɛrtsɛ,heart:J,sErtsE
78,Czech,heart,ˈsr̩tsɛ,heart:J,srtsE
84,Lithuanian,heart,ʃʲɪrʲˈdʲɪs,heart:J,Sirdis
86,Icelandic,heart,ˈçar̥ta,heart:J,Sarta
91,Swedish,heart,ˈjæ̀ʈːa,heart:J,yEta
95,Danish,heart,ˈjɛɐ̯d̥ʰə,heart:J,yEad3
99,English,heart,hɑ:t,heart:J,hot
101,Dutch,heart,hɑrt,heart:J,hort
106,German,heart,hɛrt͜s,heart:J,hErts
112,Catalan,heart,kɔɾ,heart:J,kor
113,Portuguese,heart,kuɾɐˈsɐ̃w,heart:J,kurasaw
114,Spanish,heart,koɾa'θon,heart:J,kora8on
120,French,heart,kœʀ,heart:J,kEr
126,Italian,heart,'kwɔre,heart:J,kwore
127,Romanian,heart,ˈinimə,heart:G,inim3
135,Breton,heart,ˈkaːlon,heart:D,kalon
9,Greek,smell,miˈrizo̞,smell:N,mirizo
53,Bulgarian,smell,uˈsɛʃtəm,smell:Z,usESt3m
55,Russian,smell,'tʃustvɔvatʲ,smell:S,tSustvovat
56,Polish,smell,tʂutɕ,smell:S,tSutS
58,Ukrainian,smell,ˈtʂutɪ,smell:S,tSuti
60,Czech,smell,ˈtsiːcit,smell:Y,tsiTit
70,Icelandic,smell,ˈθɛːva,smell:M,8Eva
76,Swedish,smell,ˈlɵ̀kta,smell:K,l3kta
80,Danish,smell,ˈlɔg̥d̥ʰə,smell:K,logd3
86,Dutch,smell,'rœykə(n),smell:B,rEik3n
92,German,smell,'ri:çn̩,smell:B,riSn
97,Catalan,smell,ulu'ra,smell:W,ulura
98,Portuguese,smell,ʃejˈɾaɾ,smell:G,Seyrar
99,Spanish,smell,o'leɾ,smell:W,oler
105,French,smell,sɑ̃tiʀ,smell:P,sotir
112,Italian,smell,sen'tire,smell:P,sentire
113,Italian,smell,odo'rare,smell:W,odorare
13,Greek,dirty,ˈvro̞miˌko̞s,dirty:Y,vromikos
56,Hindi,dirty,ɡənd̪a,dirty:V,g3nda
72,Bulgarian,dirty,ˈmrɤsɘn,dirty:G,mros3n
74,Russian,dirty,'grʲaznɨj,dirty:I,grazn3y
75,Polish,dirty,'brudnɘ̟,dirty:H,brudn3
77,Ukrainian,dirty,bruˈdnɪj,dirty:H,brudniy
79,Czech,dirty,ˈʃpɪnaviː,dirty:J,Spinavi
89,Icelandic,dirty,ˈsaurʏɣʏr,dirty:Ak,saurixir
90,Icelandic,dirty,ˈouːr̥eid̥n,dirty:Aa,oureidn
91,Icelandic,dirty,ˈsciːtʰʏːɣʏr,dirty:K,sTitixir
101,Swedish,dirty,ˈùːˌre:n,dirty:Aa,uren
102,Swedish,dirty,ˈsmɵ̀tsɪ(ɡ),dirty:N,sm3tsig
109,Danish,dirty,ˈuˌʁɛˀn,dirty:Aa,uGEn
110,Danish,dirty,ˈsɡ̊iðən,dirty:K,sgi83n
111,Danish,dirty,ˈsnɑwsəð,dirty:Am,snows38
118,English,dirty,dɜ:tɪ,dirty:L,d3ti
120,Dutch,dirty,vœyl,dirty:B,vEil
121,Dutch,dirty,vis,dirty:B,vis
130,German,dirty,'ʃmʊt͜sɪç,dirty:N,SmutsiS
138,Catalan,dirty,pɔrk,dirty:E,pork
139,Catalan,dirty,bɾut,dirty:Ab,brut
140,Portuguese,dirty,ˈsuʒu,dirty:Ac,suZu
142,Spanish,dirty,'suθjo,dirty:Ac,su8yo
148,French,dirty,sal,dirty:M,sal
154,Italian,dirty,'spɔrko,dirty:E,sporko
164,Breton,dirty,ˈluːs,dirty:F,lus
168,Irish,dirty,"ˈsˠal̪ˠəx, sˠəˈl̪ˠax",dirty:M,sal3xs3lax
18,Greek,all,pas,all:L,pas
19,Greek,all,ˈo̞lo̞s,all:G,olos
78,Bulgarian,all,ˈfsitʃki,all:H,fsitSki
80,Russian,all,vsʲɛ,all:H,vsE
81,Polish,all,ˈfʂɘ̟stsɘ̟,all:H,fS3sts3
83,Ukrainian,all,ʋsi,all:H,wsi
85,Czech,all,ˈfʃɪxɲɪ,all:H,fSixNi
91,Lithuanian,all,ˈʋʲɪskɐs,all:H,wiskas
93,Icelandic,all,ˈad̥lɪr,all:A,adlir
98,Swedish,all,ˈàlːa,all:A,ala
102,Danish,all,ˈalə,all:A,al3
107,English,all,ɔ:l,all:A,ol
109,Dutch,all,'ɑlə,all:A,ol3
114,German,all,'alə,all:A,al3
122,Catalan,all,tot,all:C,tot
123,Portuguese,all,ˈtoðu,all:C,to8u
124,Spanish,all,'toðo,all:C,to8o
130,French,all,tu,all:C,tu
136,Italian,all,'tutto,all:C,tutto
145,Breton,all,ˈɔlː,all:G,ol
13,Greek,leaf,ˈfilo̞,leaf:B,filo
49,Hindi,leaf,pətːiː,leaf:E,p3ti
61,Bulgarian,leaf,list,leaf:H,list
63,Russian,leaf,lʲist,leaf:H,list
64,Polish,leaf,liɕtɕ,leaf:H,liStS
66,Ukrainian,leaf,ɫɪst,leaf:H,List
68,Czech,leaf,lɪst,leaf:H,list
77,Icelandic,leaf,b̥laːð,leaf:B,bla8
78,Icelandic,leaf,løɪːf,leaf:I,leif
87,Swedish,leaf,blɑ:d,leaf:B,blod
88,Swedish,leaf,lø:v,leaf:I,lev
94,Danish,leaf,løˀw,leaf:I,lew
95,Danish,leaf,b̥lað,leaf:B,bla8
101,English,leaf,li:f,leaf:I,lif
103,Dutch,leaf,blɑt,leaf:B,blot
109,German,leaf,blat,leaf:B,blat
115,Catalan,leaf,'fuʎa,leaf:B,fula
116,Portuguese,leaf,ˈfoʎɐ,leaf:B,fola
117,Spanish,leaf,'oxa,leaf:B,oxa
123,French,leaf,fœj,leaf:B,fEy
130,Italian,leaf,'fɔʎʎo,leaf:B,follo
132,Romanian,leaf,ˈfrunzə,leaf:F,frunz3
141,Breton,leaf,ˈdeljen,leaf:G,delyen
19,Greek,know,ˈkse̞ro̞,know:G,ksero
60,Hindi,know,dʒan:a,know:A,dZana
73,Bulgarian,know,ˈznajə,know:A,znay3
75,Russian,know,znatʲ,know:A,znat
76,Polish,know,ˈvjɛdʑɛtɕ,know:F,vyEdZEtS
78,Ukrainian,know,znatɪ,know:A,znati
80,Czech,know,ˈvjɛɟɛt,know:F,vyECEt
86,Lithuanian,know,ʒʲɪˈno:tʲɪ,know:A,Zinoti
88,Icelandic,know,ˈvɪːta,know:F,vita
93,Swedish,know,ˈvè:ta,know:F,veta
98,Danish,know,ˈvi:ðə,know:F,vi83
103,English,know,nəʊ,know:A,n3u
105,Dutch,know,'wetə(n),know:F,wet3n
110,German,know,'vɪsn̩,know:F,visn
117,Catalan,know,ku'nɛʃə,know:A,kunES3
118,Catalan,know,sə'βe,know:C,s3be
121,Portuguese,know,sɐˈbeɾ,know:C,saber
122,Spanish,know,sa'βeɾ,know:C,saber
128,French,know,savwaʀ,know:C,savwar
137,Italian,know,sa'pere,know:C,sapere
138,Romanian,know,a ʃti,know:D,aSti
146,Breton,know,ˈguːzut,know:F,guzut
149,Irish,know,fʲɪsˠ,know:F,fis
14,Greek,fat,ˈlipo̞s,fat:J,lipos
15,Greek,fat,ˈpaxo̞s,fat:Ah,paxos
16,Greek,fat,ˈksiŋɟi,fat:Ai,ksiNCi
50,Bengali,fat,ˈmoʈa,fat:Q,mota
70,Bulgarian,fat,məzniˈna,fat:G,m3znina
72,Russian,fat,ʐɨr,fat:N,Z3r
73,Polish,fat,twuʂtʂ,fat:Am,twuStS
75,Ukrainian,fat,ʐɪr,fat:N,Zir
77,Czech,fat,tuk,fat:H,tuk
88,Icelandic,fat,ˈfɪːtʰa,fat:B,fita
89,Icelandic,fat,ˈfeiːtʰɪ,fat:B,feiti
93,Swedish,fat,fɛtː,fat:B,fEt
97,Danish,fat,fɛd̥,fat:B,fEd
101,English,fat,fæt,fat:B,fEt
103,Dutch,fat,vɛt,fat:B,vEt
108,German,fat,fɛt,fat:B,fEt
116,Catalan,fat,gras,fat:I,gras
117,Catalan,fat,greʃ,fat:I,greS
118,Portuguese,fat,ɡuɾˈðuɾɐ,fat:E,gur8ura
119,Spanish,fat,'ɡɾasa,fat:I,grasa
125,French,fat,gʀɛs,fat:I,grEs
131,Italian,fat,'grasso,fat:I,grasso
148,Breton,fat,ˈlart,fat:Aj,lart
10,Greek,back,ˈplati,back:L,plati
47,Hindi,back,piːʈʰ,back:G,pit
60,Bulgarian,back,ɡrɤb,back:Ae,grob
62,Russian,back,spʲiˈna,back:Q,spina
63,Polish,back,'plɛtsɘ̟,back:P,plEts3
65,Ukrainian,back,ˈspɪna,back:Q,spina
67,Czech,back,ˈzaːda,back:Ab,zada
76,Icelandic,back,b̥aːk,back:B,bak
77,Icelandic,back,ˈr̥ɪɡ̊ːʏr,back:R,rigir
84,Swedish,back,rʏgː,back:R,rig
90,Danish,back,ʁœɡ,back:R,GEg
97,English,back,bæk,back:B,bEk
99,Dutch,back,rʏχ,back:R,riG
104,German,back,'rijkn̩,back:R,riykn
112,Catalan,back,əs'kɛnə,back:F,3skEn3
113,Catalan,back,əs'paʎʎə,back:C,3spall3
116,Spanish,back,es'palda,back:C,espalda
121,French,back,do,back:H,do
129,Italian,back,'dɔsso,back:H,dosso
136,Breton,back,ˈkɛjn,back:I,kEyn
139,Irish,back,d̪ˠɾˠɪmʲ,back:N,drim
12,Greek,flow,ˈre̞ˌo̞,flow:I,reo
60,Bulgarian,flow,tɘˈkɤ,flow:H,t3ko
62,Russian,flow,tʲɛtʃ,flow:H,tEtS
63,Polish,flow,ˈpwɘ̟nɔɲʨ,flow:B,pw3noNC
65,Ukrainian,flow,tɛˈktɪ,flow:H,tEkti
67,Czech,flow,tɛːtst,flow:H,tEtst
78,Icelandic,flow,ˈrɛnːa,flow:H,rEna
79,Icelandic,flow,ˈstreiːma,flow:I,streima
93,Swedish,flow,ˈrɪ̀nːa,flow:H,rina
94,Swedish,flow,ˈflỳ:ta,flow:B,flita
95,Swedish,flow,ˈstrø̀mːa,flow:I,strema
101,Danish,flow,ˈʁanə,flow:H,Gan3
102,Danish,flow,ˈsd̥ʁɶmə,flow:I,sdGEm3
103,Danish,flow,ˈfly:ðə,flow:B,fli83
108,English,flow,fləʊ,flow:B,fl3u
110,Dutch,flow,'vlujə(n),flow:B,vluy3n
111,Dutch,flow,ˈstromə,flow:I,strom3
118,German,flow,'fli:sn̩,flow:B,flisn
124,Catalan,flow,'korə,flow:H,kor3
125,Catalan,flow,rə'ʒa,flow:J,r3Za
127,Portuguese,flow,fluˈiɾ,flow:E,fluir
128,Spanish,flow,flu'iɾ,flow:E,fluir
134,French,flow,kule,flow:F,kule
141,Italian,flow,ko'lare,flow:F,kolare
142,Italian,flow,'skorrere,flow:H,skorrere
143,Italian,flow,flu'ire,flow:E,fluire
149,Breton,flow,ˈreːdǝg-k,flow:H,red3gk
18,Greek,and,ce̞,and:J,Te
53,Bengali,and,ɑːɹ,and:A,or
54,Bengali,and,ebɔŋ,and:P,eboN
76,Bulgarian,and,i,and:H,i
78,Russian,and,i,and:H,i
79,Polish,and,i,and:H,i
81,Ukrainian,and,i,and:H,i
83,Czech,and,a,and:W,a
91,Icelandic,and,ɔːɣ,and:I,ox
96,Swedish,and,ɔ(kː),and:I,ok
100,Danish,and,"ɒw, ʌ",and:I,owo
105,English,and,ænd,and:B,End
107,Dutch,and,ɛn,and:B,En
113,German,and,ʊnt,and:B,unt
121,Catalan,and,i,and:F,i
122,Portuguese,and,i,and:F,i
123,Spanish,and,i,and:F,i
129,French,and,e,and:F,e
135,Italian,and,"e, ed",and:F,eed
143,Breton,and,"a, aɡ",and:G,aag
144,Welsh,and,a:,and:G,a
145,Irish,and,ˈaɡəs,and:G,ag3s
15,Greek,eye,'mati,eye:B,mati
50,Bengali,eye,tʃokʰ,eye:D,tSok
55,Hindi,eye,ɑ̃ŋkʰ,eye:B,oNk
69,Bulgarian,eye,uˈkɔ,eye:B,uko
71,Russian,eye,gɫaz,eye:G,gLaz
72,Polish,eye,ˈɔkɔ,eye:B,oko
74,Ukrainian,eye,ˈɔkɔ,eye:B,oko
76,Czech,eye,ˈɔkɔ,eye:B,oko
82,Lithuanian,eye,ɐˈkʲɪs,eye:B,akis
84,Icelandic,eye,ˈøɪːɣa,eye:B,eixa
89,Swedish,eye,ˈø̀ːɡa,eye:B,ega
93,Danish,eye,ˈʌjə,eye:B,oy3
98,English,eye,aɪ,eye:B,ai
100,Dutch,eye,oχ,eye:B,oG
105,German,eye,'aŭgə,eye:B,aug3
111,Catalan,eye,uʎ,eye:B,ul
112,Portuguese,eye,ˈoʎu,eye:B,olu
113,Spanish,eye,'oxo,eye:B,oxo
119,French,eye,œj,eye:B,Ey
125,Italian,eye,'ɔkkjo,eye:B,okkyo
126,Romanian,eye,'oki,eye:B,oki
135,Breton,eye,ˈlɑːgat,eye:E,logat
138,Irish,eye,sˠuːlʲ,eye:F,sul
12,Greek,river,po̞ˈtami,river:K,potami
52,Hindi,river,nədi:,river:E,n3di
65,Bulgarian,river,rɘˈka,river:H,r3ka
67,Russian,river,rʲɛ'ka,river:H,rEka
68,Polish,river,ˈʐɛka,river:H,ZEka
70,Ukrainian,river,rʲiˈka,river:H,rika
72,Czech,river,ˈr̝ɛka,river:H,rEka
78,Lithuanian,river,ʊpʲe:,river:L,upe
82,Icelandic,river,auː,river:O,au
83,Icelandic,river,ˈɛlvʏr,river:N,Elvir
84,Icelandic,river,fljouːtʰ,river:R,flyout
95,Swedish,river,oː,river:O,o
96,Swedish,river,ɛlv,river:N,Elv
97,Swedish,river,flu:d,river:P,flud
102,Danish,river,ɛlˀv,river:N,Elv
103,Danish,river,ɔˀ,river:O,o
104,Danish,river,floˀð,river:P,flo8
110,English,river,'rɪvə,river:F,riv3
112,Dutch,river,ri'vir,river:F,rivir
119,German,river,flʊs,river:P,flus
127,Catalan,river,ˈriw,river:H,riw
128,Portuguese,river,ˈʀiu,river:H,riu
129,Spanish,river,'rio,river:H,rio
135,French,river,ʀivjɛʀ,river:F,rivyEr
142,Italian,river,'fjume,river:J,fyume
143,Romanian,river,rɨw,river:H,r3w
155,Irish,river,"əunʲ, əun̠ʲ, oːn̠ʲ",river:L,3un3unon
13,Greek,tree,ˈðe̞n̪dro̞,tree:C,8endro
49,Bengali,tree,"ɡɑs, ɡɑtʃʰ",tree:E,gosgotS
67,Bulgarian,tree,dərˈvɔ,tree:C,d3rvo
69,Russian,tree,'dʲɛrʲɛvɔ,tree:C,dErEvo
70,Polish,tree,ˈd-ʐɛvɔ,tree:C,dZEvo
72,Ukrainian,tree,ˈdɛrɛʋɔ,tree:C,dErEwo
74,Czech,tree,strɔm,tree:H,strom
83,Lithuanian,tree,ˈmʲæ:dʲɪs,tree:M,mEdis
85,Icelandic,tree,tʰrjɛː,tree:C,tryE
90,Swedish,tree,trɛ:(d),tree:C,trEd
94,Danish,tree,d̥ʰʁɛˀ,tree:C,dGE
98,English,tree,tri:,tree:C,tri
100,Dutch,tree,bom,tree:B,bom
105,German,tree,baŭm,tree:B,baum
111,Catalan,tree,'aβɾə,tree:F,abr3
112,Portuguese,tree,ˈaɾvuɾɨ,tree:F,arvur3
113,Spanish,tree,'aɾβol,tree:F,arbol
119,French,tree,aʀbʀ,tree:F,arbr
129,Italian,tree,'albero,tree:F,albero
130,Romanian,tree,'arbore,tree:F,arbore
14,Greek,two,ˈðiˌo̞,two:A,8io
39,Nepali,two,dui,two:A,dui
60,Bulgarian,two,dva,two:A,dva
62,Russian,two,dva,two:A,dva
63,Polish,two,dva,two:A,dva
65,Ukrainian,two,dʋa,two:A,dwa
67,Czech,two,dva,two:A,dva
75,Icelandic,two,tveiːr,two:A,tveir
80,Swedish,two,tvo:,two:A,tvo
84,Danish,two,d̥ʰoˀ,two:A,do
89,English,two,tu:,two:A,tu
91,Dutch,two,twe,two:A,twe
96,German,two,t͜svaĭ,two:A,tsvai
103,Catalan,two,dos,two:A,dos
104,Portuguese,two,doiʃ,two:A,doiS
105,Spanish,two,dos,two:A,dos
111,French,two,dø,two:A,de
117,Italian,two,'due,two:A,due
118,Romanian,two,doj,two:A,doy
14,Greek,throw,ˈrixno̞,throw:B,rixno
68,Bulgarian,throw,ˈxvɤrlʲəm,throw:M,xvorl3m
70,Russian,throw,brɔ'satʲ,throw:Am,brosat
71,Polish,throw,ˈʐutsatɕ,throw:Al,ZutsatS
73,Ukrainian,throw,ˈkɪdatɪ,throw:Q,kidati
75,Czech,throw,ˈɦaːzɛt,throw:H,hazEt
87,Icelandic,throw,ˈvarpʰa,throw:B,varpa
88,Icelandic,throw,ˈkʰasta,throw:I,kasta
97,Swedish,throw,ˈkàsta,throw:I,kasta
98,Swedish,throw,ˈslɛ̀ŋa,throw:U,slENa
105,Danish,throw,ˈsløŋə,throw:U,sleN3
106,Danish,throw,g̥ʰasd̥ʰə,throw:I,gasd3
112,English,throw,θrəʊ,throw:S,8r3u
115,Dutch,throw,ˈɣojə,throw:Ag,xoy3
116,Dutch,throw,'smɛitə(n),throw:O,smEit3n
117,Dutch,throw,'wɛrpə(n),throw:B,wErp3n
122,German,throw,'vɛrfn̩,throw:B,vErfn
132,Catalan,throw,ti'ɾa,throw:W,tira
133,Portuguese,throw,ɐtiˈɾaɾ,throw:W,atirar
135,Portuguese,throw,lɐ̃ˈsaɾ,throw:V,lasar
137,Spanish,throw,ti'ɾaɾ,throw:W,tirar
144,French,throw,ʒəte,throw:J,Z3te
152,Italian,throw,dʒet'tare,throw:J,dZettare
11,Greek,split,ˈscizo̞,split:M,sTizo
62,Bulgarian,split,dəˈlʲɤ,split:Q,d3lo
64,Russian,split,ruˈbʲitʲ,split:Ac,rubit
65,Russian,split,dʲɛˈlʲitʲ,split:Q,dElit
66,Polish,split,ˈdʑɛlʲitɕ,split:Q,dZElitS
67,Polish,split,ˈrɔmbatɕ,split:Ac,rombatS
70,Ukrainian,split,ruˈbatɪ,split:Ac,rubati
71,Ukrainian,split,dʲiˈɫɪtɪ,split:Q,diLiti
74,Czech,split,ˈɟɛlɪt,split:Q,CElit
